CM000602.2_930714-943649	NODE_961_length_6872_cov_14.141558	100.000	5848	0	0	7089	12936	1	5848	0.0	10547
CM000602.2_930714-943649	NODE_961_length_6872_cov_14.141558	74.016	127	25	2	10059	10179	1086	1210	1.27e-12	79.7
CM000602.2_930714-943649	NODE_1008_length_6133_cov_10.058736	100.000	1801	0	0	1	1801	4333	6133	0.0	3249
CM000602.2_930714-943649	NODE_1008_length_6133_cov_10.058736	79.630	54	10	1	3317	3370	5662	5610	0.026	45.5
CM000602.2_930714-943649	NODE_2129_length_1569_cov_13.507926	100.000	1569	0	0	2451	4019	1	1569	0.0	2830
CM000602.2_930714-943649	NODE_2129_length_1569_cov_13.507926	79.630	54	10	1	1278	1330	920	867	0.026	45.5
CM000602.2_930714-943649	NODE_1954_length_1823_cov_12.599548	92.287	1115	83	3	1612	2723	393	1507	0.0	1613
CM000602.2_930714-943649	NODE_1954_length_1823_cov_12.599548	80.612	392	52	7	1068	1451	1	376	1.11e-95	355
CM000602.2_930714-943649	NODE_3036_length_831_cov_14.900773	100.000	831	0	0	3993	4823	1	831	0.0	1499
CM000602.2_930714-943649	NODE_1007_length_6137_cov_14.169352	94.444	900	50	0	7089	7988	1	900	0.0	1398
CM000602.2_930714-943649	NODE_3407_length_702_cov_13.180835	100.000	702	0	0	1764	2465	1	702	0.0	1267
CM000602.2_930714-943649	NODE_2173_length_1512_cov_14.956760	94.059	505	29	1	3993	4496	1512	1008	0.0	773
CM000602.2_930714-943649	NODE_2173_length_1512_cov_14.956760	97.188	320	9	0	4504	4823	320	1	1.64e-150	537
CM000602.2_930714-943649	NODE_2254_length_1394_cov_10.704257	93.047	489	34	0	2451	2939	1	489	0.0	729
CM000602.2_930714-943649	NODE_3326_length_719_cov_11.277108	79.632	761	86	11	1068	1801	1	719	0.0	687
CM000602.2_930714-943649	NODE_3326_length_719_cov_11.277108	78.182	55	11	1	3317	3371	267	214	0.091	42.8
CM000602.2_930714-943649	NODE_3326_length_719_cov_11.277108	77.273	66	12	3	600	664	85	148	0.32	41.9
CM000602.2_930714-943649	NODE_755_length_11981_cov_16.904578	87.646	429	46	2	7986	8413	3588	4010	2.00e-149	533
CM000602.2_930714-943649	NODE_755_length_11981_cov_16.904578	83.983	231	32	2	8101	8329	2887	2660	4.14e-63	246
CM000602.2_930714-943649	NODE_755_length_11981_cov_16.904578	80.357	112	16	2	10059	10164	3777	3888	3.89e-19	100
CM000602.2_930714-943649	NODE_755_length_11981_cov_16.904578	73.889	180	39	5	8239	8415	11798	11972	1.36e-18	98.7
CM000602.2_930714-943649	NODE_755_length_11981_cov_16.904578	74.107	112	23	1	10059	10164	2814	2703	5.40e-11	73.4
CM000602.2_930714-943649	NODE_3711_length_613_cov_13.351254	93.373	332	22	0	2134	2465	332	1	1.18e-139	500
CM000602.2_930714-943649	NODE_3711_length_613_cov_13.351254	89.510	286	26	3	1764	2047	613	330	1.44e-100	371
CM000602.2_930714-943649	NODE_2891_length_897_cov_10.979810	85.681	433	57	2	7986	8415	575	145	1.44e-138	498
CM000602.2_930714-943649	NODE_2891_length_897_cov_10.979810	78.261	115	19	2	10059	10167	387	273	2.01e-16	92.4
CM000602.2_930714-943649	NODE_945_length_7134_cov_8.648820	84.527	433	55	2	7986	8415	4749	4326	1.11e-133	481
CM000602.2_930714-943649	NODE_945_length_7134_cov_8.648820	81.167	377	58	5	7992	8365	1488	1122	4.72e-94	350
CM000602.2_930714-943649	NODE_945_length_7134_cov_8.648820	83.333	270	40	3	7986	8254	638	903	8.53e-72	276
CM000602.2_930714-943649	NODE_945_length_7134_cov_8.648820	75.000	140	27	3	10059	10192	4561	4424	7.02e-16	89.7
CM000602.2_930714-943649	NODE_945_length_7134_cov_8.648820	73.043	115	25	1	10059	10167	1307	1193	6.58e-10	69.8
CM000602.2_930714-943649	NODE_3519_length_669_cov_10.861564	84.419	430	44	4	7986	8415	257	663	1.35e-132	477
CM000602.2_930714-943649	NODE_3519_length_669_cov_10.861564	80.952	105	17	1	10059	10160	445	549	1.36e-18	98.7
CM000602.2_930714-943649	NODE_1437_length_3189_cov_9.097320	82.176	432	44	4	7986	8415	410	10	7.97e-123	444
CM000602.2_930714-943649	NODE_1437_length_3189_cov_9.097320	70.609	279	65	11	8008	8277	886	1156	3.89e-19	100
CM000602.2_930714-943649	NODE_1437_length_3189_cov_9.097320	73.723	137	33	1	10059	10192	222	86	2.99e-14	84.2
CM000602.2_930714-943649	NODE_4006_length_550_cov_11.707071	83.213	417	49	3	8002	8415	550	152	2.78e-122	443
CM000602.2_930714-943649	NODE_4006_length_550_cov_11.707071	76.289	97	17	1	10060	10150	386	290	5.40e-11	73.4
CM000602.2_930714-943649	NODE_3686_length_620_cov_11.270796	87.079	356	37	2	7992	8344	526	177	1.44e-119	434
CM000602.2_930714-943649	NODE_3686_length_620_cov_11.270796	80.000	115	17	2	10059	10167	344	230	3.89e-19	101
CM000602.2_930714-943649	NODE_2245_length_1402_cov_9.299926	82.135	431	59	3	7986	8415	565	152	1.44e-119	434
CM000602.2_930714-943649	NODE_2245_length_1402_cov_9.299926	77.953	127	20	2	10059	10179	377	253	1.11e-19	102
CM000602.2_930714-943649	NODE_2965_length_861_cov_10.837469	80.841	428	46	4	7986	8411	339	732	1.11e-114	417
CM000602.2_930714-943649	NODE_2965_length_861_cov_10.837469	79.104	134	28	0	10059	10192	527	660	5.05e-24	116
CM000602.2_930714-943649	NODE_1493_length_2953_cov_8.722567	81.364	440	61	6	7986	8415	2531	2103	3.87e-114	416
CM000602.2_930714-943649	NODE_1493_length_2953_cov_8.722567	80.620	129	22	1	10059	10184	2342	2214	1.45e-24	119
CM000602.2_930714-943649	NODE_1465_length_3059_cov_8.415113	80.690	435	51	5	7986	8415	433	839	1.35e-113	414
CM000602.2_930714-943649	NODE_1465_length_3059_cov_8.415113	77.372	137	28	1	10059	10192	621	757	9.14e-21	106
CM000602.2_930714-943649	NODE_1465_length_3059_cov_8.415113	89.796	49	5	0	8367	8415	1636	1684	8.01e-09	67.1
CM000602.2_930714-943649	NODE_8776_length_228_cov_12.959538	100.000	228	0	0	6118	6345	1	228	4.71e-113	412
CM000602.2_930714-943649	NODE_1124_length_4921_cov_8.829018	80.974	431	55	5	7986	8415	2416	2012	1.64e-112	410
